id,source_locale,target_locale,source,target,entities,from,source_no_punct,target_no_punc,code_switch
21f3dbb1,it,en,"Which movie was released first, Avengers: Endgame or Joker?","Quel film est sorti en premier, Avengers : Endgame ou Joker ?",['Q23781155'],mintaka,Which movie was released first Avengers Endgame or Joker,Quel film est sorti en premier Avengers  Endgame ou Joker ,Which movie was released first Avenger Endgame or Joker
ae9f3be5,it,en,Was Friday the 13th released the same year as Halloween?,Vendredi 13 est-il sorti la même année qu’Halloween ?,['Q1243029'],mintaka,Was Friday the 13th released the same year as Halloween,Vendredi 13 estil sorti la même année quHalloween ,Was Vendredi treize released the same year as Halloween
def43cde,it,en,Was The Ring released before 2005?,Le Cercle est-il sorti avant 2005 ?,['Q212804'],mintaka,Was The Ring released before 2005,Le Cercle estil sorti avant 2005 ,Was Le Cercle estil released before 2005
47feccd4,it,en,"Which movie had a higher lifetime gross, Jurassic World or The Lion King?",Quel film est resté le plus rentable à vie : Jurassic World ou Le Roi lion ?,['Q36479'],mintaka,Which movie had a higher lifetime gross Jurassic World or The Lion King,Quel film est resté le plus rentable à vie  Jurassic World ou Le Roi lion ,Which movie had a higher lifetime gross Jurassic Monde or Le Roi lion
3d823e8a,it,en,"Which Netflix series has been watched more, Tiger King or The Queen's Gambit?",Quelle est la série Netflix la plus regardée : Au royaume des fauves ou Le jeu de la dame ?,"['Q88306935', 'Q85808226']",mintaka,Which Netflix series has been watched more Tiger King or The Queens Gambit,Quelle est la série Netflix la plus regardée  Au royaume des fauves ou Le jeu de la dame ,Which Netflix series has been watched more Au royaume des fauves ou or Le jeu de la dame
932c66a8,it,en,"Which Netflix series has been watched more, Bridgerton or Tiger King?",Quelle est la série Netflix la plus regardée : Bridgerton ou Au royaume des fauves ?,['Q88306935'],mintaka,Which Netflix series has been watched more Bridgerton or Tiger King,Quelle est la série Netflix la plus regardée  Bridgerton ou Au royaume des fauves ,Which Netflix series has been watched more Bridgerton or Au royaume des fauves ou
7ddcfcf7,it,en,Did Hurt Locker or Avatar have the smaller budget?,Démineurs ou Avatar avaient-ils le plus petit budget ?,['Q183066'],mintaka,Did Hurt Locker or Avatar have the smaller budget,Démineurs ou Avatar avaientils le plus petit budget ,Démineurs or Avatar have the smaller budget
bb79562b,it,en,Did Inception have a bigger budget than Dunkirk?,Inception a-t-il eu un budget plus important que celui de Dunkerque ?,['Q45797'],mintaka,Did Inception have a bigger budget than Dunkirk,Inception atil eu un budget plus important que celui de Dunkerque ,Did Inception have a bigger budget than Dunkerque
93c51178,it,en,Was Train to Busan released the same year as John Wick 2?,Dernier train pour Busan est-il sorti la même année que John Wick 2 ?,['Q20948236'],mintaka,Was Train to Busan released the same year as John Wick 2,Dernier train pour Busan estil sorti la même année que John Wick 2 ,Was Dernier train pour Busan released the same year as John Wick 2
b7a18689,it,en,"Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?",Quel film d’horreur a rapporté le plus d’argent au box-office américain : Phénomènes (2008) ou Conjuring : Les Dossiers Warren (2013) ?,"['Q681092', 'Q5540479']",mintaka,Which horror movie made more money at the US Box Office The Happening 2008 or The Conjuring 2013,Quel film dhorreur a rapporté le plus dargent au boxoffice américain  Phénomènes 2008 ou Conjuring  Les Dossiers Warren 2013 ,Which horror movie made more money at the Phénomènes 2008 or Conjuring Les Dossiers Warren
c68c2fef,it,en,Did the original Ocean's Eleven come out after 1965?,Le film original Ocean’s Eleven est-il sorti après 1965 ?,['Q205447'],mintaka,Did the original Oceans Eleven come out after 1965,Le film original Oceans Eleven estil sorti après 1965 ,Did the original Oceans Eleven come out after 1965
7baaf283,it,en,Were Pixar's Soul and Onward released in the same year?,Soul et En avant de Pixar sont-ils sortis la même année ?,['Q59690895'],mintaka,Were Pixars Soul and Onward released in the same year,Soul et En avant de Pixar sontils sortis la même année ,Were Liste des films Pixar released in the same year
0b9c0743,it,en,Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle?,Tom Hanks a-t-il obtenu sa première nomination aux Oscars pour Big ou Nuits blanches à Seattle ?,['Q107167'],mintaka,Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle,Tom Hanks atil obtenu sa première nomination aux Oscars pour Big ou Nuits blanches à Seattle ,Did Tom Hanks get his first Oscars du cinéma du cinéma nomination for Nuits blanches à Seattle
adf16132,it,en,Did Avengers: Endgame have a bigger budget than Avengers: Infinity War?,Avengers : Endgame a-t-il eu un budget plus important que Avengers : Infinity War ?,"['Q23780914', 'Q23781155']",mintaka,Did Avengers Endgame have a bigger budget than Avengers Infinity War,Avengers  Endgame atil eu un budget plus important que Avengers  Infinity War ,Did Avenger Endgame have a bigger budget than Avenger Infinity Guerre
5f3de4a8,it,en,"Who is older, Anna Faris or Jennifer Aniston?",Qui est plus âgée : Anna Farris ou Jennifer Aniston ?,['Q4491'],mintaka,Who is older Anna Faris or Jennifer Aniston,Qui est plus âgée  Anna Farris ou Jennifer Aniston ,Who is older Anna Farris or Jennifer Aniston
93855345,it,en,Did The Twilight Saga: New Moon come out before 1995?,"Twilight, chapitre II : Tentation est-il sorti avant 1995 ?",['Q116928'],mintaka,Did The Twilight Saga New Moon come out before 1995,Twilight chapitre II  Tentation estil sorti avant 1995 ,"Did Twilight, chapitre II : Tentation come out before 1995"
4c5901ae,it,en,"Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?",Quel film a eu un plus gros budget : Le Magicien d’Oz ou Autant en emporte le vent ?,"['Q2875', 'Q193695']",mintaka,Which movie had a bigger budget The Wizard of Oz or Gone With The Wind,Quel film a eu un plus gros budget  Le Magicien dOz ou Autant en emporte le vent ,Which movie had a bigger budget Le Magicien dOz or Autant en emporte le vent
375001ec,it,en,Was The Godfather released after 1970?,Le Parrain est-il sorti après 1970 ?,['Q47703'],mintaka,Was The Godfather released after 1970,Le Parrain estil sorti après 1970 ,Was Le Parrain released after 1970
d9368ed1,it,en,Were the box office earnings for The Wolf of Wall Street or Inception higher?,Quel film a eu le plus de recettes au box-office : Le Loup de Wall Street ou Inception ?,['Q1392744'],mintaka,Were the box office earnings for The Wolf of Wall Street or Inception higher,Quel film a eu le plus de recettes au boxoffice  Le Loup de Wall Street ou Inception ,Were the box office earnings for Le Loup de Wall Street or Inception higher
3263c8a7,it,en,Did Avengers or The Lion King have the highest budget in 2019?,Avengers ou le Roi Lion ont-ils eu le plus gros budget en 2019 ?,['Q27044293'],mintaka,Did Avengers or The Lion King have the highest budget in 2019,Avengers ou le Roi Lion ontils eu le plus gros budget en 2019 ,Did Avenger or Le Roi lion have the highest budget in 2019
8af3981e,it,en,Did Avengers: Age of Ultron or Avengers: Endgame make more worldwide gross?,Avengers : L’Ère d’Ultron et Avengers : Endgame a fait plus de recettes mondiales ?,['Q23781155'],mintaka,Did Avengers Age of Ultron or Avengers Endgame make more worldwide gross,Avengers  LÈre dUltron et Avengers  Endgame a fait plus de recettes mondiales ,Did Avenger LÈre dUltron or Avenger Endgame make more worldwide gross
8f1877c5,it,en,Was The Twilight Saga: Eclipse released before The Twilight Saga: New Moon?,"Twilight, chapitre III : Hésitation est-il sorti avant Twilight, chapitre II : Tentation ?","['Q116928', 'Q217010']",mintaka,Was The Twilight Saga Eclipse released before The Twilight Saga New Moon,Twilight chapitre III  Hésitation estil sorti avant Twilight chapitre II  Tentation ,"Was Twilight released before Twilight, chapitre II : Tentation"
08f05ac5,it,en,Did the movie Moonraker come out before Live and Let Die?,Le film Moonraker est-il sorti avant Vivre et laisser mourir ?,['Q27204'],mintaka,Did the movie Moonraker come out before Live and Let Die,Le film Moonraker estil sorti avant Vivre et laisser mourir ,Did the movie Moonraker come out before Vivre et laisser mourir
4b71cec9,it,en,Did the movie Thunderball come out before 1970?,Le film Opération Tonnerre est-il sorti avant 1970 ?,['Q107724'],mintaka,Did the movie Thunderball come out before 1970,Le film Opération Tonnerre estil sorti avant 1970 ,Did the movie Opération Tonnerre come out before 1970
d8eaa37c,it,en,Did The Matrix come out before 1998?,Matrix est-il sorti avant 1998 ?,['Q83495'],mintaka,Did The Matrix come out before 1998,Matrix estil sorti avant 1998 ,Did Matrix come out before 1998
2748e966,it,en,Did The Devil's Rejects come out after 2003?,The Devil’s Rejects est-il sorti après 2003 ?,['Q1534510'],mintaka,Did The Devils Rejects come out after 2003,The Devils Rejects estil sorti après 2003 ,Did The Devil's Rejects come out after 2003
3723563b,it,en,Did Kill Bill: Vol. 1 come out after 2004?,Kill Bill : Volume 1 est-il sorti après 2004 ?,['Q165325'],mintaka,Did Kill Bill Vol 1 come out after 2004,Kill Bill  Volume 1 estil sorti après 2004 ,Kill Bill Volume 1 come out after 2004
ce4231fe,it,en,Did Die Hard come out after 2000?,La série Piège de cristal est-elle sortie après 2000 ?,['Q105598'],mintaka,Did Die Hard come out after 2000,La série Piège de cristal estelle sortie après 2000 ,Piège de cristal estelle come out after 2000
bc81a65c,it,en,Was The Notebook released in 2004?,N’oublie jamais est-il sorti en 2004 ?,['Q223374'],mintaka,Was The Notebook released in 2004,Noublie jamais estil sorti en 2004 ,Was N'oublie jamais released in 2004
7175a825,it,en,"Between The Notebook and Dear John, which movie was more profitable worldwide?","Entre N’oublie jamais et Cher John, lequel de ces films a été le plus rentable au niveau mondial ?","['Q223374', 'Q867138']",mintaka,Between The Notebook and Dear John which movie was more profitable worldwide,Entre Noublie jamais et Cher John lequel de ces films a été le plus rentable au niveau mondial ,Between N'oublie jamais and Dear John which movie was more profitable worldwide
e485a845,it,en,Did Iron Man 3 gross more than The Avengers?,Les recettes d’Iron Man 3 ont-elles étaient plus élevées que celles d’Avengers ?,['Q182218'],mintaka,Did Iron Man 3 gross more than The Avengers,Les recettes dIron Man 3 ontelles étaient plus élevées que celles dAvengers ,Did Iron Man 3 gross more than Avenger
f73dac8e,it,en,Did Avengers: Endgame gross more than Black Panther?,Les recettes d’Avengers Endgame furent-elles plus importantes que celles de Black Panther ?,['Q23781155'],mintaka,Did Avengers Endgame gross more than Black Panther,Les recettes dAvengers Endgame furentelles plus importantes que celles de Black Panther ,Did Avenger Endgame gross more than Noir Panther
efaacc4d,it,en,Did The Piano come out before 1996?,La leçon de piano est-il sorti avant 1996 ?,['Q117315'],mintaka,Did The Piano come out before 1996,La leçon de piano estil sorti avant 1996 ,Did La Leçon de piano come out before 1996
814e3e9f,it,en,Was Bad Boys for Life released the same year as Sonic the Hedgehog?,"Bad Boys for Life est-il sorti la même année que Sonic, le film ?",['Q29906232'],mintaka,Was Bad Boys for Life released the same year as Sonic the Hedgehog,Bad Boys for Life estil sorti la même année que Sonic le film ,Was Bad Boys for Life released the same year as Sonic le Hérisson
908a541d,it,en,Was Harry Potter and the Deathly Hallows Part 2 released before The Hunger Games?,"Harry Potter et les reliques de la mort, Partie 2 est-il sorti avant Hunger Games ?","['Q212965', 'Q232009']",mintaka,Was Harry Potter and the Deathly Hallows Part 2 released before The Hunger Games,Harry Potter et les reliques de la mort Partie 2 estil sorti avant Hunger Games ,Was Harry Potter et les reliques de la mort Partie 2 released before Hunger Games
1c4c10ba,it,en,Was Titanic released the same year as The Lost World: Jurassic Park?,Titanic est-il sorti la même année que Le Monde perdu : Jurassic Park ?,['Q200873'],mintaka,Was Titanic released the same year as The Lost World Jurassic Park,Titanic estil sorti la même année que Le Monde perdu  Jurassic Park ,Was Titanic released the same year as Le Monde perdu Jurassic Park
c476b4a4,it,en,Was Men in Black released the same year as Tomorrow Never Dies?,Men in Black est-il sorti la même année que Demain ne meurt jamais ?,['Q207916'],mintaka,Was Men in Black released the same year as Tomorrow Never Dies,Men in Black estil sorti la même année que Demain ne meurt jamais ,Was Men in Noir released the same year as Demain ne meurt jamais
0d9c0aba,it,en,Was The Fifth Element released the same year as The Full Monty?,Le Cinquième Élément est-il sorti la même année que The Full Monty ?,['Q106506'],mintaka,Was The Fifth Element released the same year as The Full Monty,Le Cinquième Élément estil sorti la même année que The Full Monty ,Was The Le Cinquième élément released the same year as The Full Monty
a978ad84,it,en,Did The Sandlot come out before 1990?,Le Gang des champions est-il sorti avant 1990 ?,['Q2369793'],mintaka,Did The Sandlot come out before 1990,Le Gang des champions estil sorti avant 1990 ,Did Le Gang des champions come out before 1990
30f68ac6,it,en,"Which movie had a bigger budget, Pirates of the Caribbean: At World's End or Avengers: Endgame?",Lequel de ces films a mobilisé le plus gros budget : Pirates des Caraïbes : Jusqu’au bout du monde ou Avengers : Endgame ?,"['Q23781155', 'Q54274']",mintaka,Which movie had a bigger budget Pirates of the Caribbean At Worlds End or Avengers Endgame,Lequel de ces films a mobilisé le plus gros budget  Pirates des Caraïbes  Jusquau bout du monde ou Avengers  Endgame ,Which movie had a bigger budget Pirates des Caraïbes Jusquau bout du monde or Avenger Endgame
6aa89fe3,it,en,"Which movie grossed more money on release, Avatar or The Avengers?",Quel film a généré le plus de recettes dès sa sortie : Avatar ou Avengers ?,['Q182218'],mintaka,Which movie grossed more money on release Avatar or The Avengers,Quel film a généré le plus de recettes dès sa sortie  Avatar ou Avengers ,Which movie grossed more money on release Avatar or Avenger
25cac1a3,it,en,"Which actress is shorter, Renée Zellweger or Anna Kendrick?",Quelle actrice est la plus petite : René Zellweger ou Anna Kendrick ?,['Q122614'],mintaka,Which actress is shorter Renée Zellweger or Anna Kendrick,Quelle actrice est la plus petite  René Zellweger ou Anna Kendrick ,Which actress is shorter René Zellweger or Anna Kendrick
15ad15e5,it,en,"Who is older, Clint Eastwood or Cuba Gooding Jr.?",Qui est le plus âgé entre Clint Eastwood et Cuba Gooding Jr ?,['Q136209'],mintaka,Who is older Clint Eastwood or Cuba Gooding Jr,Qui est le plus âgé entre Clint Eastwood et Cuba Gooding Jr ,Who is older Clint Eastwood or Cuba Gooding Jr
92f2e719,it,en,How many Dirty Harry movies are there?,Combien existe-il de films L’Inspecteur Harry ?,['Q2712648'],mintaka,How many Dirty Harry movies are there,Combien existeil de films LInspecteur Harry ,How many lInspecteur Harry movies are there
d4198048,it,en,How many Lethal Weapon movies are there?,Combien existe-t-il de films L’Arme fatale ?,['Q462447'],mintaka,How many Lethal Weapon movies are there,Combien existetil de films LArme fatale ,How many LArme fatale movies are there
510e5d5b,it,en,How many times has Francis Ford Coppola won Best Director?,Combien de fois Francis Ford Coppola a-t-il remporté l’Oscar du meilleur réalisateur ?,['Q103360'],mintaka,How many times has Francis Ford Coppola won Best Director,Combien de fois Francis Ford Coppola atil remporté lOscar du meilleur réalisateur ,How many times has Francis Ford Coppola won Best Director
58706029,it,en,How many of the Godfather movies did James Caan act in?,Dans combien de films Le Parrain James Caan a-t-il joué ?,['Q47703'],mintaka,How many of the Godfather movies did James Caan act in,Dans combien de films Le Parrain James Caan atil joué ,How many of the Le Parrain movies did Caan act in
4b5f2519,it,en,How many Academy Awards has Clint Eastwood won for Best Director?,Combien d’Oscars du meilleur réalisateur Clint Eastwood a-t-il remportés ?,['Q103360'],mintaka,How many Academy Awards has Clint Eastwood won for Best Director,Combien dOscars du meilleur réalisateur Clint Eastwood atil remportés ,How many Oscars du cinéma du cinéma has Clint Eastwood won for Best Director
96845705,it,en,How many Academy Award nominations has Emma Stone received?,Combien de fois Emma Stone a-t-elle été nominée aux Oscars du cinéma ?,['Q19020'],mintaka,How many Academy Award nominations has Emma Stone received,Combien de fois Emma Stone atelle été nominée aux Oscars du cinéma ,How many Oscars du cinéma du cinéma nominations has Emma Stone received
abe9472b,it,en,How many Academy Awards for Best Director has Steven Spielberg won?,Steven Spielberg a combien d’Oscars du meilleur réalisateur à son actif ?,['Q103360'],mintaka,How many Academy Awards for Best Director has Steven Spielberg won,Steven Spielberg a combien dOscars du meilleur réalisateur à son actif ,How many Oscar du meilleur réalisateur has Steven Spielberg won
7d2d9cdc,it,en,How many Academy Awards has Alicia Vikander won?,Combien d’Oscars du cinéma Alicia Vikander a-t-elle remportés ?,['Q19020'],mintaka,How many Academy Awards has Alicia Vikander won,Combien dOscars du cinéma Alicia Vikander atelle remportés ,How many Oscars du cinéma du cinéma has Alicia Vikander won
39cbef14,it,en,How many Academy Awards has Jessica Chastain won?,Combien d’Oscars du cinéma Jessica Chastain a-t-elle remportés ?,['Q19020'],mintaka,How many Academy Awards has Jessica Chastain won,Combien dOscars du cinéma Jessica Chastain atelle remportés ,How many Oscars du cinéma du cinéma has Jessica Chastain won
46c19f73,it,en,How many Child's Play movies are there?,Combien de films composent Chucky ?,['Q2265493'],mintaka,How many Childs Play movies are there,Combien de films composent Chucky ,How many Child's Play movies are there
1b7fc09d,it,en,How many Academy Awards has Clint Eastwood won?,Combien d’Oscars du cinéma Clint Eastwood a-t-il remportés ?,['Q19020'],mintaka,How many Academy Awards has Clint Eastwood won,Combien dOscars du cinéma Clint Eastwood atil remportés ,How many Oscars du cinéma du cinéma has Clint Eastwood won
848c0af9,it,en,How many Academy Awards did Silence of the Lambs win?,Combien d’Oscars du cinéma le film Le Silence des agneaux a-t-il remportés ?,"['Q19020', 'Q133654']",mintaka,How many Academy Awards did Silence of the Lambs win,Combien dOscars du cinéma le film Le Silence des agneaux atil remportés ,How many Oscars du cinéma du cinéma did Le silence des agneaux win
7072e1d7,it,en,How many Terminator movies has Arnold Schwarzenegger been in?,Dans combien de films Terminator Arnold Schwarzanegger a-t-il joué ?,['Q2685'],mintaka,How many Terminator movies has Arnold Schwarzenegger been in,Dans combien de films Terminator Arnold Schwarzanegger atil joué ,How many Terminator movies has Arnold Schwarzanegger been in
f67c03c4,it,en,How many Star Wars movies did Jabba the Hutt appear in?,Dans combien de Star Wars le personnage Jabba le Hutt apparaît-il ?,['Q51794'],mintaka,How many Star Wars movies did Jabba the Hutt appear in,Dans combien de Star Wars le personnage Jabba le Hutt apparaîtil ,How many Star Wars movies did Jabba the Hutt appear in
13b796d2,it,en,How many Academy Awards has Sandra Bullock won?,Combien d’Oscars du cinéma Sandra Bullock a-t-elle remportés ?,['Q19020'],mintaka,How many Academy Awards has Sandra Bullock won,Combien dOscars du cinéma Sandra Bullock atelle remportés ,How many Oscars du cinéma du cinéma has Sandra Bullock won
93d85d24,it,en,How many children does Han Solo have in Star Wars?,Combien d’enfants compte Han Solo dans les Stars Wars ?,['Q462'],mintaka,How many children does Han Solo have in Star Wars,Combien denfants compte Han Solo dans les Stars Wars ,How many children does Han Solo have in Star Wars
3c27c09c,it,en,How many Academy Awards did Black Panther win?,Combien d’Oscars du cinéma Black Panther a-t-il remportés ?,['Q19020'],mintaka,How many Academy Awards did Black Panther win,Combien dOscars du cinéma Black Panther atil remportés ,How many Oscars du cinéma du cinéma did Noir Panther win
7a859d8b,it,en,How many Academy Awards did The Father movie win?,Combien d’Oscars du cinéma le film Le Parrain a-t-il remportés ?,['Q19020'],mintaka,How many Academy Awards did The Father movie win,Combien dOscars du cinéma le film Le Parrain atil remportés ,How many Oscars du cinéma du cinéma did Père movie win
0113cbcc,it,en,How many Frozen movies are there?,Combien y a-t-il de films La Reine des neiges ?,['Q246283'],mintaka,How many Frozen movies are there,Combien y atil de films La Reine des neiges ,How many Frozen movies are there
666678ba,it,en,How many Guardians of the Galaxy movies are there?,Combien y a-t-il de films Les Gardiens de la Galaxie ?,['Q5887360'],mintaka,How many Guardians of the Galaxy movies are there,Combien y atil de films Les Gardiens de la Galaxie ,How many Les Gardiens de la Galaxie movies are there
004fb1d4,it,en,How many Academy Awards has Helen Mirren won?,Combien d’Oscars du cinéma Helen Mirren a-t-elle remportés ?,['Q19020'],mintaka,How many Academy Awards has Helen Mirren won,Combien dOscars du cinéma Helen Mirren atelle remportés ,How many Oscars du cinéma du cinéma has Helen Mirren won
4de034f6,it,en,In how many Pirates of the Caribbean movies did Johnny Depp portray Captain Jack Sparrow?,Combien de films de la saga Les Pirates des Caraïbes ont-ils vu Johnny Depp incarner le personnage connu sous le nom de capitaine Jack Sparrow ?,"['Q202857', 'Q194318']",mintaka,In how many Pirates of the Caribbean movies did Johnny Depp portray Captain Jack Sparrow,Combien de films de la saga Les Pirates des Caraïbes ontils vu Johnny Depp incarner le personnage connu sous le nom de capitaine Jack Sparrow ,In how many Pirates des Caraïbes movies did Johnny Depp portray Captain Jack Sparrow
076f55e2,it,en,How many Academy Awards has Joaquin Phoenix won?,Combien d’Oscars du cinéma Joaquin Phoenix a-t-il remportés ?,['Q19020'],mintaka,How many Academy Awards has Joaquin Phoenix won,Combien dOscars du cinéma Joaquin Phoenix atil remportés ,How many Oscars du cinéma du cinéma has Joaquin Phoenix won
8fdec67b,it,en,How many Academy Awards has Mel Gibson won?,Combien d’Oscars du cinéma Mel Gibson a-t-il remportés ?,['Q19020'],mintaka,How many Academy Awards has Mel Gibson won,Combien dOscars du cinéma Mel Gibson atil remportés ,How many Oscars du cinéma du cinéma has Mel Gibson won
4df2564a,it,en,How many Pirates of the Caribbean movies are there?,Combien y a-t-il de films Pirates des Caraïbes ?,['Q194318'],mintaka,How many Pirates of the Caribbean movies are there,Combien y atil de films Pirates des Caraïbes ,How many Pirates des Caraïbes movies are there
f81edbc6,it,en,How many Academy Awards did Frozen win?,Combien d’Oscars du cinéma ont-ils été remportés par la Reine des neiges ?,"['Q19020', 'Q246283']",mintaka,How many Academy Awards did Frozen win,Combien dOscars du cinéma ontils été remportés par la Reine des neiges ,How many Oscars du cinéma du cinéma did Frozen win
fdb461b3,it,en,How many movies are in The Twilight Saga?,Combien de films la saga Twilight compte-t-elle ?,['Q652599'],mintaka,How many movies are in The Twilight Saga,Combien de films la saga Twilight comptetelle ,How many movies are in Twilight
63063827,it,en,How many Academy Awards has Martin Scorsese won?,Combien d’Oscars du cinéma Martin Scorsese a-t-il remportés ?,['Q19020'],mintaka,How many Academy Awards has Martin Scorsese won,Combien dOscars du cinéma Martin Scorsese atil remportés ,How many Oscars du cinéma du cinéma has Martin Scorcese won
8e506405,it,en,How many Back to the Future movies are there?,Combien de films font partie de la saga Retour vers le futur ?,['Q91540'],mintaka,How many Back to the Future movies are there,Combien de films font partie de la saga Retour vers le futur ,How many Retour vers le Futur movies are there
245cc55d,it,en,How many Academy Awards has Jane Fonda won?,Combien d’Oscars du cinéma ont été remportés par l’actrice Jane Fonda ?,['Q19020'],mintaka,How many Academy Awards has Jane Fonda won,Combien dOscars du cinéma ont été remportés par lactrice Jane Fonda ,How many Oscars du cinéma du cinéma has Jane Fonda won
de93e875,it,en,How many Academy Awards has Christian Bale won?,Combien d’Oscars du cinéma Christian Bale a-t-il remportés ?,['Q19020'],mintaka,How many Academy Awards has Christian Bale won,Combien dOscars du cinéma Christian Bale atil remportés ,How many Oscars du cinéma du cinéma has Chrétien Bale won
1018e900,it,en,How many Golden Globe Awards has Denzel Washington won?,Combien de Golden Globe Denzel Washington a-t-il remportés ?,['Q1011547'],mintaka,How many Golden Globe Awards has Denzel Washington won,Combien de Golden Globe Denzel Washington atil remportés ,How many Golden Globes has Denzel Washington won
73f3f54f,it,en,How many Jaws movies are there?,Combien y a-t-il de films Les Dents de la mer ?,['Q6166233'],mintaka,How many Jaws movies are there,Combien y atil de films Les Dents de la mer ,How many Les dents de la mer movies are there
07ce968b,it,en,How many children did Ron and Hermione have in Harry Potter and the Deathly Hallows?,Combien d’enfants Ron et Hermione ont-ils dans Harry Potter et les Reliques de la mort ?,['Q1880543'],mintaka,How many children did Ron and Hermione have in Harry Potter and the Deathly Hallows,Combien denfants Ron et Hermione ontils dans Harry Potter et les Reliques de la mort ,How many children did Ron and Hermione have in Harry Potter et les Reliques de la Mort
