source,entities,translations
"Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?","['US', 'Office', 'The Happening', 'The Conjuring']","['Estados Unidos', 'Oficina', 'The Happening', 'The Conjuring']"
"Who is older, Anna Faris or Jennifer Aniston?","['Anna Faris', 'Jennifer Aniston']","['Anna Faris', 'Jennifer Aniston']"
Did Twilight come out before 1995?,['Twilight'],['Crepúsculo']
"Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?","['Wizard of Oz', 'Gone With The Wind']","['Wizard of Oz', 'Gone With The Wind']"
Was The Godfather released after 1970?,['The Godfather'],['El padrino (película)']
Were the box office earnings for The Wolf of Wall Street or Inception higher?,"['The Wolf of Wall Street', 'Inception']","['The Wolf of Wall Street', 'Inception']"
Did Avengers or The Lion King have the highest budget in 2019?,"['Avengers', 'The Lion King']","['Avenger', 'El rey león']"
Did the movie Moonraker come out before Live and Let Die?,"['Moonraker', 'Live and Let Die']","['Moonraker', 'Vive y deja morir']"
Did the movie Thunderball come out before 1970?,['Thunderball'],['Thunderball']
Did Kill Bill: Vol. 1 come out after 2004?,['Kill Bill: Vol. 1'],['Kill Bill: Volumen 1']
"Between The Notebook and Dear John, which movie was more profitable worldwide?","['The Notebook', 'Dear John']","['The Notebook (película)', 'Querido John']"
"Which movie had a bigger budget, Doctor Sleep or Ad Astra?","['Doctor Sleep', 'Ad Astra']","['Doctor Sleep', 'Ad astra']"
Was Harry Potter and the Deathly Hallows Part 2 released before The Hunger Games?,"['Harry Potter and the Deathly Hallows Part 2', 'The Hunger Games']","['Harry Potter y las reliquias de la Muerte: parte 2', 'Serie de Los juegos del hambre']"
Was Men in Black released the same year as Tomorrow Never Dies?,"['Men in Black', 'Tomorrow Never Dies?']","['Men in Black', 'Tomorrow Never Dies?']"
Was Air Force One released the same year as As Good as It Gets?,"['Air Force One', 'As Good as It Gets']","['Air Force One', 'Mejor... imposible']"
Was The Fifth Element released the same year as The Full Monty?,"['The Fifth Element', 'The Full Monty']","['El quinto elemento', 'The Full Monty']"
Is Tom Holland older than Tobey Maguire?,"['Tom Holland', 'Tobey Maguire']","['Tom Holland', 'Tobey Maguire']"
"Which movie had a bigger budget, Pirates of the Caribbean: At World's End or Avengers: Endgame?","[""Pirates of the Caribbean: At World's End"", 'Avengers: Endgame']","['Piratas del Caribe: en el fin del mundo', 'Avengers: Endgame']"
"Who is older, Clint Eastwood or Cuba Gooding Jr.?","['Clint Eastwood', 'Cuba Gooding Jr']","['Clint Eastwood', 'Cuba Gooding Jr.']"
How many awards has Tobey Maguire won for Spider-Man related roles?,"['Tobey Maguire', 'Spider-Man']","['Tobey Maguire', 'Spider-Man']"
How many of the Godfather movies did James Caan act in?,"['Godfather', 'James Caan']","['Godfather', 'James Caan']"
How many movies feature Andrew Garfield as Spider-Man?,"['Andrew Garfield', 'Spider', 'Man']","['Andrew Garfield', 'Araneae', 'Varón']"
In how many movies has Laurence Fishburne played the character Morpheus?,"['Laurence Fishburne', 'Morpheus']","['Laurence Fishburne', 'Morfeo']"
How many Child's Play movies are there?,"[""Child's Play""]","[""Child's Play""]"
How many Captain America movies has Chris Evans starred in?,"['Captain America', 'Chris Evans']","['Capitán América', 'Chris Evans']"
How many feature movies grossed more than $1.4 billion in 2019?,[],[]
How many feature movies grossed more than $1.6 billion in 2015?,[],[]
How many Star Wars movies did Jabba the Hutt appear in?,"['Star Wars', 'Jabba the Hutt']","['Star Wars', 'Jabba el Hutt']"
How many Guardians of the Galaxy movies are there?,['Guardians of the Galaxy'],['Guardianes de la Galaxia']
In how many Pirates of the Caribbean movies did Johnny Depp portray Captain Jack Sparrow?,"['Pirates of the Caribbean', 'Johnny Depp', 'Jack Sparrow']","['Pirates of the Caribbean', 'Johnny Depp', 'Jack Sparrow']"
How many Pirates of the Caribbean movies are there?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
How many children did Ron and Hermione have in Harry Potter and the Deathly Hallows?,"['Ron', 'Hermione', 'Harry Potter and the Deathly Hallows']","['Ron (desambiguación)', 'Hermíone', 'Harry Potter y las reliquias de la Muerte']"
How many hobbits are in the fellowship of the ring in The Lord of the Ring movies?,['The Lord of the Ring'],['El Señor de los Anillos']
How many Lord of the Rings movies was Gandalf the White in?,"['Lord of the Rings', 'Gandalf', 'the', 'White']","['El Señor de los Anillos', 'Gandalf', 'the', 'Blanco']"
Which 1940 Disney movie did not feature the Little Mermaid as a character?,"['Disney', 'Little Mermaid']","['The Walt Disney Company', 'La Sirenita']"
Which 1952 Gene Kelly movie failed to earn a Best Picture nod at the Oscars that year?,"['Gene Kelly', 'Best Picture', 'Oscars']","['Gene Kelly', 'Best Picture', 'Premios Óscar']"
"Which movie did Gollum not survive in, in Lord of the Rings?","['Gollum', 'Lord of the Rings']","['Gollum', 'El Señor de los Anillos']"
Which Pirates of the Caribbean movie did Keira Knightley not appear in?,"['Pirates of the Caribbean', 'Keira Knightley']","['Pirates of the Caribbean', 'Keira Knightley']"
Which Lord of the Rings movie did not get nominated for the Best Director Oscar?,"['Lord of the Rings', 'Best Director Oscar']","['El Señor de los Anillos', 'Best Director Oscar']"
Which Captain America (MCU) movie does not star Scarlett Johansson?,"['Captain America', 'MCU', 'Scarlett Johansson']","['Capitán América', 'Universo cinematográfico de Marvel', 'Scarlett Johansson']"
Which was the first DC Extended Universe movie to not involve Charles Roven as a producer?,"['DC Extended Universe', 'Charles Roven']","['Universo extendido de DC', 'Charles Roven']"
Which The Godfather movie was not released in the 1970s?,['The Godfather'],['El padrino (película)']
"Who starred in ""Rebel Without a Cause"" but was not awarded an Academy Award for his/her acting?","['Rebel Without a Cause', 'Academy Award']","['Rebelde sin causa', 'Premios Óscar']"
"Who wrote, ""Live and Let Die"", for the 1973 James Bond movie of the same name, which was nominated for, but did not win, the Best Original Song Oscar?","['Live and Let Die', 'James Bond', 'Best Original Song Oscar']","['Vive y deja morir', 'James Bond (franquicia)', 'Best Original Song Oscar']"
Who was nominated for the award in Cinematography for their role in Judas and the Black Messiah but did not win?,['Judas and the Black Messiah'],['Judas and the Black Messiah']
What was the first live action Spider-Man movie to not include Tobey Maguire?,"['Spider-Man', 'Tobey Maguire']","['Spider-Man', 'Tobey Maguire']"
"What was the last movie Clint Eastwood starred in, but was not a Dirty Harry movie?","['Clint Eastwood', 'Dirty Harry']","['Clint Eastwood', 'Harry el Sucio']"
Which movie did Leo DiCaprio receive an Oscar nomination for in 2005 for Best Actor but did not win?,"['Leo DiCaprio', 'Oscar', 'Best']","['Leonardo DiCaprio', 'Oscar', 'Best']"
Which Scorsese movie has won an Oscar for Best Director without De Niro participating in the project?,"['Sc', 'orse', 'se', 'Oscar', 'Best', 'De Niro']","['Sc', 'orse', 'Se', 'Oscar', 'Best', 'Robert De Niro']"
Which Lawrence of Arabia actor was nominated for Best Actor but did not win?,"['Lawrence', 'of', 'Arabia']","['Lawrence', 'of', 'Arabia']"
Which Lord of the Rings movies did not feature Gandalf the Grey?,"['Lord of the Rings', 'Gandalf', 'the', 'Grey']","['El Señor de los Anillos', 'Gandalf', 'the', 'Gris']"
Which Matrix movie did Lilly Wachowski not direct?,"['Matrix', 'Lilly Wachowski']","['Matrix (desambiguación)', 'Hermanas Wachowski']"
Which Korean-American actor was nominated for Best Actor but did not win?,['Korean-American'],['Korean-American']
Which is the only Final Destination movie not to be filmed in Canada?,"['Final Destination', 'Canada']","['Destino final (franquicia)', 'Canadá']"
Which actor not born in the United States starred as Spider-Man?,"['United States', 'Spider-Man']","['Estados Unidos', 'Spider-Man']"
"Which 2021 Emmy award was Cobra Kai nominated for, but did not win?","['Emmy', 'Cobra Kai']","['Premios Emmy', 'Cobra Kai']"
Which movie is part of the Marvel Cinematic Universe and has Chadwick Boseman in the titular role?,"['Marvel Cinematic Universe', 'Chadwick Boseman']","['Universo cinematográfico de Marvel', 'Chadwick Boseman']"
"Which actor plays Ethan Hunt in the Mission Impossible series and was born in Syracuse, New York?","['Ethan Hunt', 'Mission Impossible', 'Syracuse', 'New York']","['Ethan Hunt', 'Mission Impossible', 'Syracuse', 'Nueva York (desambiguación)']"
Which actress from Germany was in the movie Troy?,"['Germany', 'Troy']","['Alemania', 'Troya']"
Who directed both Psycho as well as a movie starring a wheelchair-bound photographer?,['Psycho'],['Psycho']
Which movie was directed by the Coen brothers and starred John Turturro?,"['Coen', 'John Turturro']","['Coen', 'John Turturro']"
Which movie was directed by the Coen brothers and starred Javier Bardem?,"['Coen', 'Javier Bardem']","['Coen', 'Javier Bardem']"
Which movie was directed by the Coen brothers and starred Michael Stuhlbarg?,"['Coen', 'Michael Stuhlbarg']","['Coen', 'Michael Stuhlbarg']"
Which actor played James Bond and was from Ireland?,"['James Bond', 'Ireland']","['James Bond (franquicia)', 'Irlanda (isla)']"
Who starred in The Graduate and achieve the Triple Crown of Acting?,"['The Graduate', 'Triple Crown of Acting']","['El graduado', 'Triple Crown of Acting']"
Who played a juror in 12 Angry Men and made his Hollywood movie debut in 1935?,"['12 Angry Men', 'Hollywood']","['12 Angry Men', 'Hollywood (desambiguación)']"
Which actress is married to Ryan Reynolds and starred in Black Widow?,"['Ryan Reynolds', 'Black Widow?']","['Ryan Reynolds', 'Black Widow?']"
"Which actress was in the Hunger Games and was born in Indian Hills, KY?","['Hunger Games', 'Indian Hills', 'KY']","['Serie de Los juegos del hambre', 'Indian Hills', 'KY']"
Which actress was in Suicide Squad and went to Somerset College?,"['Suicide Squad', 'Somerset College']","['Escuadrón Suicida', 'Somerset College']"
Which movie was directed by the Wachowski Brothers and had Keanu Reeves in it?,"['W', 'ach', 'owski Brothers', 'Keanu Reeves']","['W', 'ach', 'owski Brothers', 'Keanu Reeves']"
Which actress was in Gone with the Wind and in A Streetcar Named Desire?,"['Gone with the Wind', 'A Streetcar Named Desire']","['Gone with the Wind', 'Un tranvía llamado Deseo (obra de teatro)']"
"Which movie actress was born in Dalby, Australia and has also played a leading role in the Suicide Squad movie?","['Dalby', 'Australia', 'Suicide Squad']","['Dalby', 'Australia', 'Escuadrón Suicida']"
"Which movie actor was born in Sydney, Australia and has played a role as a main character in the X-Men movies?","['Sydney', 'Australia', 'X-Men']","['Sídney', 'Australia', 'X-Men']"
Which movie actor has played a main character in the Thor movies and has a brother that has dated Miley Cyrus?,"['Thor', 'Miley Cyrus']","['Thor', 'Miley Cyrus']"
Which actor played Spider-Man and was born in England?,"['Spider', '-', 'Man', 'England']","['Araneae', 'Guion menos', 'Varón', 'Inglaterra']"
Which actress starred in Maleficent and grew up in New York?,"['Maleficent', 'New York']","['Maléfica', 'Nueva York (desambiguación)']"
Which movie starred Roger Moore and was set mostly in Louisiana?,"['Roger Moore', 'Louisiana']","['Roger Moore', 'Luisiana']"
Which actor was in Pirates of the Caribbean and was a pen salesman before his acting career?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
Which actress in Blue Lagoon graduated from Princeton University?,"['Blue Lagoon', 'Princeton University']","['Blue Lagoon', 'Universidad de Princeton']"
Which actress starred in Transformers and modeled for Victoria's Secret?,"['Transformers', ""Victoria's Secret""]","['Transformers', ""Victoria's Secret""]"
"Which actress starred in ""The Island"" and has a twin in real life?",['The Island'],['The Island']
"Which actress played Burt Lancaster's daughter in ""Sweet Smell of Success"" and graduated at the High School of Performing Arts in New York City?","['Burt Lancaster', 'Sweet Smell of Success', 'High School of Performing Arts', 'New York City']","['Burt Lancaster', 'Sweet Smell of Success', 'High School of Performing Arts', 'Nueva York']"
"Which actor played Terry Malloy in ""On the Waterfront"" and whose religion is Christian Scientist?","['Terry Malloy', 'On the Waterfront', 'Christian Scientist']","['On the Waterfront', 'On the Waterfront', 'Christian Scientist']"
Where is the actor who played Seong Gi-hun in Squid Game from?,"['Seong Gi', 'hun', 'Squid Game']","['Seong Gi', 'Hunos', 'El juego del calamar']"
When was the director of Jurassic Park born?,['Jurassic Park'],['Parque Jurásico (franquicia)']
When was the director of The 40-Year-Old Virgin born?,['The 40-Year-Old Virgin'],['Virgen a los 40']
What's the actor's name who played Spider-Man in 2002?,"['Spider', '-Man']","['Araneae', '-Man']"
How many times has the actor who played Spider-Man (2002) been married?,['Spider-Man'],['Spider-Man']
How many children does the actor who played Captain Jack Sparrow have?,['Jack Sparrow'],['Jack Sparrow']
How many times has the actress Bella from Twilight been married?,"['Bella', 'Twilight']","['Bella', 'Crepúsculo']"
Where was the actor who played Achilles in Troy born?,"['Achilles', 'Troy']","['Aquiles', 'Troya']"
How many brothers does the actor who played Batman in Justice League have?,"['Batman', 'Justice League']","['Batman', 'Liga de la Justicia']"
When was the director of Squid Game born?,['Squid Game'],['El juego del calamar']
How tall is the actress who played Katniss Everdeen in The Hunger Games?,"['Katniss Everdeen', 'The Hunger Games']","['Katniss Everdeen', 'Serie de Los juegos del hambre']"
How many children does the actor who played Agent Jay in Men in Black from?,"['Agent Jay', 'Men in Black']","['Agent Jay', 'Men in Black']"
Where is the actor who played Agent Kay in Men in Black from?,"['Agent Kay', 'Men in Black']","['Agente K', 'Men in Black']"
How much was the actor who played Harry Potter paid for acting in Harry Potter and the Half Blood Prince?,"['Harry', 'Potter', 'Harry Potter and the Half Blood Prince']","['Harry', 'Potter', 'Harry Potter y el misterio del príncipe']"
How many children does the lead actress in The Hunger Games have?,['The Hunger Games'],['Serie de Los juegos del hambre']
How many children does the lead actress in Atomic Blonde have?,['Atomic Blonde'],['Atómica (película)']
How many kids does the star of The Terminal have?,['The Terminal'],['La terminal (película de 2004)']
How many Oscars does the male star of the Titanic have?,"['Oscar', 'Titanic']","['Oscar', 'RMS Titanic']"
How tall is the actor who played Edward in Twilight?,"['Edward', 'Twilight']","['Edward', 'Crepúsculo']"
Where is the birthplace of the actor who played Legolas?,['Legolas'],['Legolas']
"When was the director of ""The Impossible"" born?",['The Impossible'],['The Impossible']
How tall is the actor who played Captain Jack Sparrow?,['Jack Sparrow'],['Jack Sparrow']
How many children does the actor that played Captain Jack Sparrow have?,['Jack Sparrow'],['Jack Sparrow']
Where is the actor who played Captain Jack Sparrow from?,['Jack Sparrow'],['Jack Sparrow']
Which role did the recipient of the Oscar for Best Actor in 2021 play?,"['Oscar', 'Best']","['Oscar', 'Best']"
In which year was the star of Raging Bull born?,['Raging Bull'],['Toro salvaje']
How old is the lead actor in Spider-Man 2002?,['Spider-Man 2002'],['Spider-Man (película)']
What was the first Twilight movie chronologically?,['Twilight'],['Crepúsculo']
What was the fourth Twilight movie chronologically?,['Twilight'],['Crepúsculo']
What was the third Pirates of the Caribbean movie to be released?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
What was the third Lord of the Rings movie to be released?,['Lord of the Rings'],['El Señor de los Anillos']
What was the last movie in the Dirty Harry franchise?,['Dirty Harry'],['Harry el Sucio']
What is the third Lord of The Rings movie?,['Lord of The Rings'],['El Señor de los Anillos']
What was the first Pirates of the Caribbean movie?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
What is the first Twilight movie?,['Twilight'],['Crepúsculo']
What is the third Twilight movie?,['Twilight'],['Crepúsculo']
"Which Disney movie was the first full-length, animated feature produced in the United States?","['Disney', 'United States']","['The Walt Disney Company', 'Estados Unidos']"
What was the third movie in the Peter Jackson Lord of the Rings trilogy?,['Peter Jackson Lord of the Rings'],['Peter Jackson Lord of the Rings']
What was the first movie released in 2021?,[],[]
What was the last Jaws movie starring Roy Schneider?,"['Jaws', 'Roy Schneider']","['Jaws', 'Roy Schneider']"
When was the last Pirate of the Caribbean movie released?,['Pirate of the Caribbean'],['Pirate of the Caribbean']
Who directed the third movie in the Piranha series?,['Piranha'],['Piraña']
Which movie made the most money?,[],[]
Who is the youngest movie director?,[],[]
What was the most expensive movie ever made?,[],[]
What was the cheapest movie ever made?,[],[]
What's the shortest theatrically released movie?,[],[]
What is the biggest budget movie of all time?,[],[]
Which Spider-Man movie had the smallest budget?,['Spider-Man'],['Spider-Man']
Which Studio Ghibli movie scored the lowest on Rotten Tomatoes?,"['Studio Ghibli', 'Rotten Tomatoes']","['Studio Ghibli', 'Rotten Tomatoes']"
Which Quentin Tarantino movie made the most money?,['Quentin Tarantino'],['Quentin Tarantino']
Which movie made the most money in the United States in 1977?,['United States'],['Estados Unidos']
Which movie made the most money in the United States in 1979?,['United States'],['Estados Unidos']
Which movie made the most money in the United States in 1980?,['United States'],['Estados Unidos']
Which movie made the most money in the United States in 1981?,['United States'],['Estados Unidos']
What is the highest-grossing movie of all time?,[],[]
What is the fastest movie ever produced?,[],[]
What is the longest movie produced?,[],[]
Which Spider-Man movie made the most money at the box office?,['Spider-Man'],['Spider-Man']
Which Spider-Man movie made the most money?,['Spider-Man'],['Spider-Man']
What is the highest-grossing movie in the world?,[],[]
Which Game of Thrones battle is the longest?,['Game of Thrones'],['Game of Thrones']
Which Squid Game episode has the longest time length?,['Squid Game'],['El juego del calamar']
Which movie has the most dialogue?,[],[]
Which movie uses the most swear words?,[],[]
Which Pirates of the Caribbean movie made the least money?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
Which Pirates of the Caribbean movie had the largest budget?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
Which Pirates of the Caribbean movie has the longest run time?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
What is the longest cinematic movie ever made?,[],[]
Which Spider-Man film made the most money?,['Spider-Man'],['Spider-Man']
Who was the youngest to win an Oscar for Best Actress?,"['Oscar', 'Best']","['Oscar', 'Best']"
Who was the oldest to win an Oscar for Best Director?,"['Oscar', 'Best']","['Oscar', 'Best']"
Which movie won the most Oscars without winning Best Picture?,"['Oscar', 'Best Picture']","['Oscar', 'Best Picture']"
What was the most costly movie of 2011?,[],[]
Which Lord of the Rings film made the most money?,['Lord of the Rings'],['El Señor de los Anillos']
Which Twilight movie has the longest runtime?,['Twilight'],['Crepúsculo']
Which Twilight movie made the most money?,['Twilight'],['Crepúsculo']
Which Lord of the Rings movie is the shortest?,['Lord of the Rings'],['El Señor de los Anillos']
Which Lord of the Rings movie cost the least money to make?,['Lord of the Rings'],['El Señor de los Anillos']
Who is the youngest person to win an Oscar for Best Director?,"['Oscar', 'Best']","['Oscar', 'Best']"
Which Pirates of the Caribbean film made the most money?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
Which actor has acted in the most movies?,[],[]
Which movie has the highest production cost of all time?,[],[]
Which Godfather movie is the longest?,['Godfather'],['Godfather']
Which of the Pirates of the Caribbean movies is the longest?,['Pirates of the Caribbean'],['Pirates of the Caribbean']
Which of the Jurassic Park movies is the longest?,['Jurassic Park'],['Parque Jurásico (franquicia)']
What is the biggest-budget movie in the history of cinema?,[],[]
Did Forrest Gump win any Academy Awards?,"['Forrest Gump', 'Academy Awards']","['Forrest Gump (película)', 'Premios Óscar']"
Did Disney produce How to Train Your Dragon?,"['Disney', 'How to Train Your Dragon']","['The Walt Disney Company', 'Cómo entrenar a tu dragón (franquicia)']"
Did Harry Potter and the Prisoner of Azkaban come out before Harry Potter and the Goblet of Fire?,"['Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire']","['Harry Potter y el prisionero de Azkaban', 'Harry Potter y el cáliz de fuego']"
Did The Hunger Games Mockingjay Part 1 come out before The Hunger Games Catching Fire?,"['Hunger Games Mockingjay Part 1', 'Hunger Games Catching Fire']","['Hunger Games Mockingjay Part 1', 'Hunger Games Catching Fire']"
Did Apollo 13 win Best Picture?,"['Apollo 13', 'Best Picture']","['Apolo 13', 'Best Picture']"
Is there one single movie that has won more Oscars than any other movie?,['Oscar'],['Oscar']
Did Parasite win 6 awards at the 92nd Academy Awards?,"['Parasite', '92nd Academy Awards']","['Parasitismo', '92.ª edición de los Premios Óscar']"
Does OldBoy have a Chinese remake?,"['OldBoy', 'Chinese']","['OldBoy', 'Chinois']"
Were Groundhog Day and Schindler's List released in the same year?,"['Groundhog Day', ""Schindler's List""]","['Día de la Marmota', 'La lista de Schindler']"
Did Short Circuit have 3 movies?,['Short Circuit'],['Short Circuit']
Did William Friedkin direct The Exorcist?,"['William Friedkin', 'The Exorcist']","['William Friedkin', 'El exorcista (película)']"
"Was there a ""Star Wars"" movie released after ""Solo: A Star Wars Story""?","['Star Wars', 'Solo: A Star Wars Story']","['Star Wars', 'Han Solo: una historia de Star Wars']"
Are the Spider-Man movies from the Marvel universe?,"['Spider-Man', 'Marvel']","['Spider-Man', 'Marvel (desambiguación)']"
Did Saving Private Ryan win an Academy Award for Best Director?,"['Saving Private Ryan', 'Academy Award', 'Best']","['Saving Private Ryan', 'Premios Óscar', 'Best']"
Did The English Patient win an Oscar for Best Picture?,"['The English Patient', 'Oscar', 'Best Picture']","['El paciente inglés (novela)', 'Oscar', 'Best Picture']"
Was Peter Pan released after Aladdin?,"['Peter Pan', 'Aladdin']","['Peter Pan', 'Aladino']"
Is Split a sequel to Unbreakable?,"['Split', 'Unbreakable']","['Split (desambiguación)', 'Unbreakable']"
Did Forrest Gump win Best Picture?,"['Forrest Gump', 'Best Picture']","['Forrest Gump (película)', 'Best Picture']"
Did Tom Hanks play the Conductor in Polar Express?,"['Tom Hanks', 'Polar Express']","['Tom Hanks', 'El Expreso Polar (libro)']"
Did Citizen Kane win Best Picture at the Academy Awards?,"['Citizen Kane', 'Best Picture', 'Academy Awards']","['Citizen Kane', 'Best Picture', 'Premios Óscar']"
Did Tom Hanks win the Academy Award for Best Actor for the movie Cast Away?,"['Tom Hanks', 'Academy Award for Best', 'Cast Away']","['Tom Hanks', 'Academy Award for Best', 'Náufrago']"
Did Harry Potter and The Goblet of Fire come out after the year 2000?,"['Harry Potter', 'The Goblet of Fire']","['Harry Potter', 'Harry Potter y el cáliz de fuego']"
Did Robert Pattinson appear in Harry Potter and the Chamber of Secrets?,"['Robert Pattinson', 'Harry Potter and the Chamber of Secrets']","['Robert Pattinson', 'Harry Potter y la cámara secreta']"
Have Dan Aykroyd and Bill Murray been in a movie together?,"['Dan Aykroyd', 'Bill Murray']","['Dan Aykroyd', 'Bill Murray']"
Have Chris Farley and Dan Aykroyd been in a movie together?,"['Chris Farley', 'Dan Aykroyd']","['Chris Farley', 'Dan Aykroyd']"
Did All Quiet on the Western Front win Best Picture?,"['All Quiet', 'Western Front', 'Picture']","['Sin novedad en el frente (novela)', 'Frente occidental', 'Imagen']"
Were the Harry Potter movies filmed in the US?,"['Harry Potter', 'US']","['Harry Potter', 'Estados Unidos']"
Was the Goonies filmed in Oregon?,"['Goonies', 'Oregon']","['Los Goonies', 'Oregón']"
Did Chiwetel Ejiofor win the Academy Award for Best Actor at the 2013 Oscars?,"['Chiwetel Ejiofor', 'Academy Award for Best', 'Oscars']","['Chiwetel Ejiofor', 'Academy Award for Best', 'Premios Óscar']"
Did Harry Potter take place in England?,"['Harry Potter', 'England']","['Harry Potter', 'Inglaterra']"
"In How to Train Your Dragon, was toothless a black furry dragon?",['How to Train Your Dragon'],['Cómo entrenar a tu dragón (franquicia)']
"Which album spent more weeks at number one on the Billboard Charts, Rumours by Fleetwood Mac or 21 by Adele?","['Billboard Charts', 'umour', 's', 'Fleetwood Mac', 'Adele']","['Anexo:Listas de Billboard', 'umour', 'S', 'Fleetwood Mac', 'Adele']"
"In terms of units sold, did Jay-Z's ""Vol. 2: Hard Knock Life"" or ""Kingdom Come"" sell more?","['Jay-Z', 'Vol', '2: Hard Knock Life', 'Kingdom Come']","['Jay-Z', 'Vol', '2: Hard Knock Life', 'Kingdom Come']"
"Who is older, Lana Del Rey or Adele?","['Lana Del Rey', 'Adele']","['Lana Del Rey', 'Adele']"
"Who is older, Jay-Z or Dr. Dre?","['Jay-Z', 'Dr', 'Dre']","['Jay-Z', 'DR', 'Dre']"
"Who is older, Jay-Z or Eminem?","['Jay-Z', 'Eminem']","['Jay-Z', 'Eminem']"
"Who has sold more albums, The Weeknd or Drake?","['Weeknd', 'Drake']","['The Weeknd', 'Drake']"
"Who has won more Grammy Awards, Korn or Tool?","['Grammy Awards', 'Korn', 'Tool']","['Premios Grammy', 'Korn', 'Herramienta']"
"Who won more Grammys, Elvis or Bruce Springsteen?","['Grammy', 'Elvis', 'Bruce Springsteen']","['Premios Grammy', 'Elvis Presley', 'Bruce Springsteen']"
"Who has more Grammys, Adele or Garth Brooks?","['Grammy', 'Adele', 'Garth Brooks']","['Premios Grammy', 'Adele', 'Garth Brooks']"
How many Grammys has Adele won?,"['Grammy', 'Adele']","['Premios Grammy', 'Adele']"
How many Grammy Awards has Tupac won?,"['Grammy Awards', 'Tupac']","['Premios Grammy', 'Tupac Shakur']"
How many Grammy Awards did Twenty One Pilots win in 2017?,"['Grammy Awards', 'Twenty One Pilots']","['Premios Grammy', 'Twenty One Pilots']"
How many Grammy Awards did Childish Gambino win in 2019?,"['Grammy Awards', 'Childish Gambino']","['Premios Grammy', 'Donald Glover']"
How many studio albums has Run-D.M.C. released?,"['Run-D', 'M.C.']","['Run-D', 'M.C.']"
How many members in NSYNC?,['NSYNC'],['NSYNC']
How many Grammy Awards has Nirvana won?,"['Grammy Awards', 'Nirvana']","['Premios Grammy', 'Nirvana (espiritualidad)']"
How many members in Blackpink?,['Blackpink'],['Blackpink']
How many BRIT Awards has ABBA been nominated for?,"['BRIT Awards', 'ABBA']","['Premios Brit', 'ABBA']"
How many Grammy Awards did Eminem win in 2014?,"['Grammy Awards', 'Eminem']","['Premios Grammy', 'Eminem']"
